cty_code,cty_lon,cty_lat
01001,872693.7875491271,1094405.727091587
01003,789796.088497385,884530.0880627432
01005,997014.396386309,1032940.1947012476
01007,822891.6835761218,1141584.9109356622
01009,863687.5183264418,1255730.3361480818
01011,964068.5182949435,1055202.915151836
01013,877743.0876485888,1007271.211223231
01015,933831.1561430946,1239467.171111945
01017,984141.8034209084,1148725.1284806894
01019,949221.8346536573,1286597.5634308748
01021,862215.761391354,1128449.7108456919
01023,726599.9752957864,1023550.762728263
01025,770408.3736071815,988866.1689318883
01027,936644.866695897,1183338.3657843922
01029,963106.1781784067,1231761.7320876473
01031,946787.0792534385,975171.0182321861
01033,743740.5486671801,1325372.4387274268
01035,851724.4789548366,968610.8854964365
01037,904834.0837174789,1142643.5901649431
01039,904873.0026052012,953595.3626806613
01041,912406.3149435241,1008394.774498392
01043,834666.8862670553,1269852.8685705971
01045,981957.963890166,982222.9092416483
01047,831751.5851070657,1067049.3831275546
01049,927571.2988077509,1316170.2205985363
01051,917858.3876104746,1105905.5635952756
01053,839024.2997858275,933569.9753477682
01055,911547.0599022983,1267871.452245787
01057,759247.7776589795,1216841.5522448483
01059,742729.9546763147,1296254.2920130303
01061,964486.86689282,942666.1537066096
01063,747889.291135338,1118570.4795551223
01065,778710.8579196399,1111108.9415534046
01067,1015709.7617481049,995278.5861147393
01069,1014493.0573124524,954669.4954143243
01071,906141.0691460023,1349846.502629855
01073,838197.0506696493,1205350.0851294196
01075,725876.6165833609,1220477.7970927602
01077,755454.6902078576,1348964.5895544104
01079,790293.1150778538,1309436.7143837127
01081,991466.2315013125,1114378.8637404707
01083,817136.5905555473,1344348.9082158662
01085,876176.0180467786,1052159.4684572616
01087,962767.9537431544,1087064.4578881434
01089,856595.9288026027,1342906.1661168924
01091,768782.9398017053,1052593.9615897557
01093,741703.2471613593,1261915.9704224907
01095,883104.7909725463,1301068.932247879
01097,743184.2676572417,887130.5393596169
01099,815195.2142162769,981027.0171742279
01101,916753.3916710018,1063591.8153419383
01103,832568.9903724841,1305772.4266899433
01105,811022.1481452442,1100117.723578475
01107,731252.3209823777,1165080.2788462972
01109,946538.50193952,1019942.6019900286
01111,973289.3690504119,1190113.3973253432
01113,1011271.0685299928,1081515.069291128
01115,889767.330994268,1228573.7792818283
01117,863027.3734671972,1175228.9426663152
01119,727426.2375060146,1087517.1037586029
01121,907240.9528831132,1192689.165174967
01123,947323.721946513,1138816.1693471354
01125,783139.4355218967,1170547.9653570943
01127,798884.6319475549,1229598.7424038937
01129,737383.1292490022,956048.9535844376
01131,816379.5084420707,1027955.8111137161
01133,788381.4013500034,1267462.110533548
04001,-1210748.0466572766,1455917.3537745965
04003,-1290623.5076367205,1071881.7713492175
04005,-1405357.0455884966,1537176.0611541064
04007,-1355989.8994730595,1298432.0382450914
04009,-1286204.356682843,1189864.712318843
04011,-1222278.7160431927,1212473.833504704
04012,-1644760.9972650532,1340757.9937850086
04013,-1517302.2972979653,1274174.9960432486
04015,-1583930.1670950693,1553422.0403437454
04017,-1284776.152682392,1467516.7211883727
04019,-1476198.0193898648,1125777.6920616108
04021,-1420563.2441715181,1207601.9158144244
04023,-1398750.7757468538,1048490.8285811794
04025,-1498492.4755727677,1412814.0445725927
04027,-1657884.1570023806,1234147.274492277
05001,422363.87874251243,1257746.107734578
05003,391892.0686933289,1133365.5259687747
05005,325936.4261991555,1477164.8722492817
05007,155078.89692544338,1478102.7280754317
05009,258746.4695889582,1477248.2593689847
05011,354195.15969725396,1162497.7900660965
05013,322392.3449787047,1171513.6646061584
05015,218934.63961810883,1479762.5174430904
05017,435394.42256456957,1143886.9437075157
05019,258726.01959914455,1224506.019986156
05021,496041.3983309756,1494574.0850484744
05023,357025.5495007274,1394481.149374414
05025,350161.89890147594,1210643.6970197356
05027,256760.39104406038,1130952.2092396405
05029,297499.6307896409,1361296.089251104
05031,480305.04628656985,1433370.6680654043
05033,157803.41734762152,1394149.8734719348
05035,513449.2118928441,1365421.7701993412
05037,471235.2145052937,1372862.145778318
05039,306828.2796822836,1217004.3188411398
05041,435913.07823749556,1207217.737770915
05043,394380.7242704845,1177983.8248820754
05045,331286.53721557994,1349625.1477997594
05047,189632.06549643257,1386217.6154347216
05049,371595.7222735731,1489672.420499782
05051,259319.09744777763,1283331.591166801
05053,326636.0655291489,1253532.773976462
05055,485065.1488138971,1465806.3266259916
05057,214490.85326933634,1188014.450162219
05059,278848.84115091636,1254974.1279279555
05061,183784.54586031006,1226808.4028515758
05063,397006.4690447012,1419051.1460118394
05065,364525.8656608854,1457196.1293988475
05067,429593.9906984291,1404668.058978601
05069,371666.9928933074,1252973.011187484
05071,228189.45936993128,1393643.507248845
05073,221516.39788203858,1132962.757737322
05075,436701.95131636097,1454603.753794481
05077,473397.1716416791,1315272.6670092666
05079,391305.23879421584,1219004.5882421965
05081,162532.04599710714,1183027.6849537145
05083,206081.181046117,1353373.388895777
05085,373231.940941643,1307360.4370811249
05087,203239.25995144132,1442379.7385330424
05089,295131.54219615605,1473927.2022593347
05091,195019.06241588248,1140274.952353773
05093,532484.3830985111,1428933.4413081305
05095,435779.2175858352,1301731.5080849105
05097,213097.85640951237,1277830.3285295283
05099,247951.52158468502,1180929.5803311635
05101,248776.1790680826,1433411.668999309
05103,287345.425137599,1174245.179867876
05105,277878.82577269274,1325409.8436054979
05107,469562.2247648606,1275553.612350609
05109,214442.69518259555,1235885.972456916
05111,479232.6779764329,1404519.5469351902
05113,161441.66297147959,1270785.6243337344
05115,266848.58732868265,1381032.5337198793
05117,403296.52543859946,1317173.6931679302
05119,334775.51593252196,1307553.4647672565
05121,442021.62078422384,1488544.337960015
05123,475032.04440223787,1342407.1640277747
05125,302183.57920729724,1292552.891184526
05127,175610.8293513173,1313021.9461189657
05129,295148.6414699106,1433882.4639550012
05131,155819.80196102604,1350490.1033116844
05133,161286.31092937363,1216141.4609698053
05135,402803.1772407072,1466339.3905612193
05137,343905.765441108,1430001.130284443
05139,315273.61060298997,1128076.3880605854
05141,312942.4237372395,1397520.6472820672
05143,159445.73924361216,1437881.5908851828
05145,383680.17281947593,1364065.8873598785
05147,429359.6860056507,1358380.216723996
05149,234270.1538425098,1330278.570133371
06001,-2234884.451969427,1929501.19958828
06003,-2033720.7737446597,1985970.927796507
06005,-2107419.179977155,1987759.8033472025
06007,-2150235.121337654,2141002.6088060597
06009,-2106254.0574897784,1959371.9795636917
06011,-2217246.9916004916,2102825.1600001515
06013,-2229797.820757243,1959851.206600821
06015,-2270487.8444745783,2417794.4676656267
06017,-2087340.6082909962,2020971.2687763048
06019,-2070496.0954850516,1782713.4329146221
06021,-2217087.029675176,2151815.036097428
06023,-2302692.085333465,2305233.9604442148
06025,-1785120.4125008876,1290255.655481495
06027,-1883465.991939019,1708901.1925570008
06029,-2028692.12616828,1609035.0450715048
06031,-2103402.5020954167,1712104.3206854502
06033,-2262138.0998455132,2106539.2736004433
06035,-2038709.7381764536,2227603.096090208
