cfs_area
01142
01380
0199999
0438060
0446060
0499999
0599999
06348
0641740
06472
06488
0699999
08216
0899999
09278
09408
0999999
1099999
1147900
1227260
1233100
12422
1245300
1299999
13122
13496
1399999
1699999
17176
17476
1799999
18176
18294
1899999
1999999
20312
2099999
21350
2199999
22132
22324
22406
2299999
2399999
2412580
2447900
2499999
25148
2599999
26220
26266
2699999
27378
2799999
2899999
29312
29476
2999999
3099999
3199999
32332
3299999
3399999
34408
34428
3499999
3599999
36104
36160
36408
36464
3699999
37172
37268
37450
3799999
3899999
39178
39184
39198
39212
3999999
40416
40538
4099999
4138900
4199999
42428
42430
4299999
4439300
4516700
45273
4599999
4699999
4732820
47400
4799999
4812420
4813140
48204
48206
4821340
48288
4829700
4841700
4899999
49482
4999999
5099999
5140060
5147260
51548
5199999
53500
5399999
5499999
55376
5599999
5699999
