cz_code,cz_lon,cz_lat
086,-362781.232991775,1057359.6698008757
087,1538065.845219675,1567662.9251886173
088,-1318024.265677831,2386268.2049674275
089,1007426.5091070856,1839158.4344779581
090,998831.8551670837,1319245.9590938655
091,1191487.860555172,1470491.2036903996
092,308231.11307920306,1167174.0709698978
093,-2129196.2908932357,2062658.472342127
094,2020920.516953177,2698943.8481853493
095,-1232386.7231243108,2741092.118652789
096,1783992.923931532,2416909.4713032874
097,-671993.9276676471,982603.5637598428
098,1459369.0974192906,1223938.7126464068
099,-186080.04654057353,502238.64471445425
100,614929.6637205515,2451450.1075866926
101,119399.22226554746,1588584.4392138317
102,-162109.27244292904,1064460.1816970585
104,830964.4998929664,2468286.968707083
105,1812775.1273628313,2582896.6945727305
106,946554.9580309981,1390667.6324230044
107,-569544.5883190437,2377781.30834569
108,755029.4935386308,1552396.4803058673
109,-2105731.2051614267,2667749.37313185
110,1629847.392710553,1401649.9054244137
111,617064.5074886113,2557174.8046798166
112,1376376.9855013862,1579004.8622030613
113,1596775.7339052414,2152863.429228928
114,343541.9366339955,915315.37254467
115,535306.709240398,2134161.428067029
116,1159766.4057078687,1790625.5998178292
117,611878.9759869204,1497677.5297879358
118,168035.88669514455,829716.4875693321
119,1259273.961607882,1080020.2285339686
120,830293.9139974165,1324014.9921562218
121,134568.0249470783,1755419.5318011157
122,482708.64468090754,1851997.5856823698
123,1136858.2978144463,1427907.6102943243
124,-1479805.779190139,2368193.1906387643
125,-60039.85888996442,1793158.6821647314
126,318142.384496701,1757389.7168219446
127,542737.8232030253,1967273.7708102209
128,655292.2993933398,1563454.156876754
129,-2039997.8389455832,2798120.7805930558
130,486773.3500268257,2625960.825655598
131,-515368.7873088173,2683511.460913791
132,-1431832.6072737577,2290242.188883893
133,22383.564534578964,1777536.9722702503
134,1890639.3822879102,2206220.5612478713
135,-182195.70108164602,2339002.608391577
136,1344786.442016015,1945135.1966202727
137,1268408.906334761,993381.358927163
138,1369976.170769671,1475085.9572819984
139,-1367600.2508731156,2073721.5019831643
140,747658.3674884735,1324460.1356576516
141,1078858.9962324062,1257390.0763872312
142,1400124.6235269553,1160355.1597368664
143,884107.1390841252,887623.7156646089
144,285095.8128258616,2346731.4774376513
145,566293.8382712489,2059323.9607516734
146,1615984.457058951,1580159.8210250752
147,1757562.5717835429,1640168.1447647654
148,1207817.1181867234,2041102.5589150034
149,-98236.59202608715,651330.2678531986
150,1322804.3006135977,1616597.4468562743
151,1787711.2968053718,2274049.0390049205
152,1442945.535854762,1940597.2011639562
153,-694776.5762177135,1794976.6580403445
154,271760.16917502537,822702.7817547426
155,-150474.9845221625,1765543.2755089253
156,557905.6216055093,1183136.8629797709
157,842371.7611345106,1593323.285929611
158,-1450603.7862158832,1261725.499200341
159,-743218.9067370077,1719200.6040998173
160,-33564.84735137952,846970.9127354565
161,366830.5726063808,2092381.4294815657
162,1547740.5692502228,1429058.8406719223
163,134262.96501834528,1038957.9050817791
164,1422602.646355756,2308178.3294564243
165,1357283.0388073341,1017919.0846586456
166,659736.9069631271,1247885.3485962928
167,1204723.2735498566,1580188.0968566572
168,375315.047159545,801029.0432997475
169,1637843.815802364,2287451.7613193435
170,1214586.8104868059,2137458.8408690826
171,-1919061.5620977602,3040307.8438164885
172,842603.637069589,2387926.818185385
173,1759460.6931283143,1807160.523579209
174,-1817855.3945038335,2708477.229476226
175,-916262.350808819,1525380.6997512924
176,857102.0095285539,1671948.6485899992
177,879843.5465999632,1412569.226714801
178,1496965.4929770427,1926122.2419552912
179,303252.1857873117,2724428.5003998997
180,1756693.1876088614,1914808.86167277
181,924319.7243543242,1847483.3538368696
182,1702421.9038604484,1490583.709454341
183,-951132.0266139944,1890713.5096375383
184,1496978.7059673101,2363410.032577721
185,242447.43995345882,1460542.0004250428
186,404893.3785931389,2320486.4051621547
187,-2054866.7854026905,1768914.882743999
188,983324.1890335012,970008.3235025181
189,644316.6176526361,1418557.3985842315
190,924008.0590176913,1163999.676257154
191,892002.8002402855,2073895.1546379721
192,390769.9873362849,1969535.5443119248
193,-422333.3006575863,954479.909139638
194,1185379.1741964733,1195882.1928468414
195,1902374.0678661999,2655176.7612615805
196,1707997.6949749915,2021873.7971679424
197,1186215.557314686,1029435.433669923
198,1639911.9887032069,2470546.946925167
199,929815.3261969489,1498050.720022769
200,243571.93421965124,1364968.295841291
201,-1232085.3711477125,2450722.389635976
202,747883.2328072377,1961162.00417638
203,1353391.8781796102,2051425.7735051205
204,361072.0427672714,2406390.769753397
205,1307441.7009893118,791210.0335962671
206,-193969.53759440914,2017520.1081328567
207,-1267995.628626313,1196306.065493648
208,-1718503.7668817386,2459458.986042655
209,550331.9010140696,1577526.746864897
210,-618425.7626931667,2138808.2467922093
211,-2096394.4920659722,1986200.9687319149
212,1378050.652089283,1250323.2309614304
213,1281820.341487416,2033808.9564410264
214,1596395.2665996354,2385775.4834706285
215,1344661.8268008719,2199561.0104880505
216,762803.3860882979,1148571.4817289563
217,1019000.4742892812,1418967.6585878474
218,-2221012.6226871638,1799882.311700727
219,1600603.2095976504,1840295.0650881983
220,1475524.2632175619,1379510.579339962
221,537615.8654868436,1788814.4056470096
222,1279097.859379101,1965395.1741451337
223,504974.30082925386,2291337.265592414
224,651157.398881325,1929627.0766823262
225,385002.05621152284,1206530.3027390838
226,-207937.0278368165,602788.8938250799
227,-1378803.1041372416,2196436.8976239897
228,896040.5144613121,1599525.6731866118
229,465314.0274603729,2053397.7939696682
230,302824.34388421004,2187180.2526410515
231,1677201.6808377507,2137145.6249341266
232,1040668.3231507932,2276893.6862618383
233,579049.2119606799,2370079.4755877187
234,-1161897.7113851055,2311581.4092013724
235,634906.7602230158,1844847.8961505827
236,742659.5311809286,2062551.2272676325
237,1537259.2960256939,559111.3606108819
238,1527088.1285909717,1313760.316939062
239,1893675.2735040328,2385725.971450872
240,167450.2151221959,1462303.631278516
241,-251452.81836776456,1971370.9430700536
242,725188.3567076154,1863110.2008701777
243,-430755.52210271265,1666116.0030537907
244,-324341.1667288117,1949646.3900395762
245,-56729.91884805343,1945176.7681539431
246,1286956.8738265831,1512552.7209707866
247,1084472.785535809,1175926.854754427
248,1447305.5294745867,1587181.1883681829
249,834415.3218621783,2279096.443633981
250,1776798.3931510756,2177983.9300896204
251,1611077.7967991168,2064951.0610833496
252,1211536.9265004545,1134887.0224974072
253,307391.2856172406,1924670.1846675344
254,761002.6600406438,904617.3126252776
255,664977.4494482479,876090.0160244565
256,1167095.544947765,1623185.834322505
257,650174.1796307645,994485.774684715
258,467513.76069102576,1018837.8572261658
259,470445.4970874286,1454861.3602504209
260,-410864.09106628393,2465694.1501747184
261,1651952.2269282725,1635354.1909271283
262,-1411492.4837673006,1946231.3542783826
263,526734.5230270857,2540819.0136278346
264,-887191.2026979347,1674312.247596884
265,215447.40142860444,1206718.7400924934
266,979350.575173533,1667727.1081306841
267,-180054.73300885616,1924296.5040383642
268,651974.0812880126,1079081.418738934
269,-99378.00501533877,1251291.8387772515
270,-548863.1113462608,1167634.6148391198
271,-68565.22555775034,2767896.845600979
272,793709.862614021,1803040.80887601
273,-403548.6792814507,1391013.3411950907
274,-1251228.5283120852,1889488.5357906907
275,480407.054183962,1154381.3890141444
276,-381687.48996444023,2837000.89674032
277,1433071.0667899668,789435.5587739449
